"id"	"referencia"	"nome"	"descricao"	"fornecedor_id"	"custo_unitario"	"preco_venda"	"quantidade_stock"	"nivel_stock_minimo"	"nivel_stock_maximo"	"localizacao"	"veiculos_compativeis"	"ativo"	"notas"	"margem_lucro"	"criado_em"	"atualizado_em"	"criado_por"	"categoria_id"
"68"	"UNIVERSAL"	"ANTIC. AZUL 5L"	\N	\N	"6,50"	"6,50"	"2"	"0"	\N	\N	\N	"1"	"ANTIC. AZUL 5L. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"21"	"PA1487"	"BOMBA D'ÁGUA"	\N	\N	"48,00"	"48,00"	"1"	"0"	\N	\N	\N	"1"	"BOMBA D'ÁGUA. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"13"
"19"	"ATE020536"	"BOMBITOS"	\N	\N	"40,00"	"40,00"	"2"	"0"	\N	\N	\N	"1"	"BOMBITOS. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"5"
"62"	"750296"	"BORNE NEGATIVO"	\N	\N	"2,00"	"2,00"	"1"	"0"	\N	\N	\N	"1"	"BORNE NEGATIVO. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"6"
"61"	"750298"	"BORNE POSITIVO"	\N	\N	"2,00"	"2,00"	"3"	"0"	\N	\N	\N	"1"	"BORNE POSITIVO. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"6"
"60"	"702103001"	"BOTÕES JANELA"	\N	\N	"15,00"	"15,00"	"1"	"0"	\N	\N	\N	"1"	"BOTÕES JANELA. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"6"
"67"	"6PK1200"	"CORREIA DE ACESSÓRIOS"	\N	\N	"10,00"	"10,00"	"1"	"0"	\N	\N	\N	"1"	"CORREIA DE ACESSÓRIOS. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"11"
"66"	"6PK1165"	"CORREIA DE ACESSÓRIOS"	\N	\N	"10,00"	"10,00"	"1"	"0"	\N	\N	\N	"1"	"CORREIA DE ACESSÓRIOS. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"11"
"65"	"6PK2155"	"CORREIA DE ACESSÓRIOS"	\N	\N	"10,00"	"10,00"	"1"	"0"	\N	\N	\N	"1"	"CORREIA DE ACESSÓRIOS. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"11"
"64"	"6PK1153"	"CORREIA DE ACESSÓRIOS"	\N	\N	"9,00"	"9,00"	"1"	"0"	\N	\N	\N	"1"	"CORREIA DE ACESSÓRIOS. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"11"
"63"	"7PK1035"	"CORREIA DE ACESSÓRIOS"	\N	\N	"9,00"	"9,00"	"3"	"0"	\N	\N	\N	"1"	"CORREIA DE ACESSÓRIOS. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"11"
"40"	"WA9770"	"FILTRO DE AR"	\N	\N	"12,95"	"12,95"	"1"	"0"	\N	\N	\N	"1"	"FILTRO DE AR. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"10"
"39"	"FA-0600S"	"FILTRO DE AR"	\N	\N	"6,65"	"6,65"	"3"	"0"	\N	\N	\N	"1"	"FILTRO DE AR. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"10"
"43"	"WA9993"	"FILTRO DE AR"	\N	\N	"12,00"	"12,00"	"3"	"0"	\N	\N	\N	"1"	"FILTRO DE AR. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"10"
"42"	"ADBP220129"	"FILTRO DE AR"	\N	\N	"12,00"	"12,00"	"2"	"0"	\N	\N	\N	"1"	"FILTRO DE AR. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"10"
"41"	"DP1110.10.0548"	"FILTRO DE AR"	\N	\N	"10,00"	"10,00"	"3"	"0"	\N	\N	\N	"1"	"FILTRO DE AR. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"10"
"37"	"DP1110.11.0147"	"FILTRO DE ÓLEO"	\N	\N	"6,65"	"6,65"	"5"	"0"	\N	\N	\N	"1"	"FILTRO DE ÓLEO. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"38"	"WL7283"	"FILTRO DE ÓLEO"	\N	\N	"6,65"	"6,65"	"1"	"0"	\N	\N	\N	"1"	"FILTRO DE ÓLEO. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"25"	"WL7506"	"FILTRO DE ÓLEO"	\N	\N	"6,65"	"6,65"	"3"	"0"	\N	\N	\N	"1"	"FILTRO DE ÓLEO. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"26"	"WL7555"	"FILTRO DE ÓLEO"	\N	\N	"6,65"	"6,65"	"3"	"0"	\N	\N	\N	"1"	"FILTRO DE ÓLEO. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"27"	"OX1237D"	"FILTRO DE ÓLEO"	\N	\N	"6,65"	"6,65"	"2"	"0"	\N	\N	\N	"1"	"FILTRO DE ÓLEO. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"28"	"ADM52119"	"FILTRO DE ÓLEO"	\N	\N	"6,65"	"6,65"	"3"	"0"	\N	\N	\N	"1"	"FILTRO DE ÓLEO. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"29"	"FO-ECO130"	"FILTRO DE ÓLEO"	\N	\N	"6,65"	"6,65"	"2"	"0"	\N	\N	\N	"1"	"FILTRO DE ÓLEO. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"30"	"ADV182125"	"FILTRO DE ÓLEO"	\N	\N	"6,65"	"6,65"	"4"	"0"	\N	\N	\N	"1"	"FILTRO DE ÓLEO. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"31"	"ADB112107"	"FILTRO DE ÓLEO"	\N	\N	"6,65"	"6,65"	"1"	"0"	\N	\N	\N	"1"	"FILTRO DE ÓLEO. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"32"	"FT5266"	"FILTRO DE ÓLEO"	\N	\N	"5,00"	"5,00"	"1"	"0"	\N	\N	\N	"1"	"FILTRO DE ÓLEO. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"33"	"FA5919ECO"	"FILTRO DE ÓLEO"	\N	\N	"6,65"	"6,65"	"1"	"0"	\N	\N	\N	"1"	"FILTRO DE ÓLEO. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"34"	"FA6813ECO"	"FILTRO DE ÓLEO"	\N	\N	"6,65"	"6,65"	"1"	"0"	\N	\N	\N	"1"	"FILTRO DE ÓLEO. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"35"	"FT6088"	"FILTRO DE ÓLEO"	\N	\N	"5,00"	"5,00"	"1"	"0"	\N	\N	\N	"1"	"FILTRO DE ÓLEO. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"36"	"DP1110.11.0373"	"FILTRO DE ÓLEO"	\N	\N	"6,65"	"6,65"	"5"	"0"	\N	\N	\N	"1"	"FILTRO DE ÓLEO. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"46"	"WF8520"	"FILTRO DO COMBUSTÍVEL"	\N	\N	"19,00"	"19,00"	"1"	"0"	\N	\N	\N	"1"	"FILTRO DO COMBUSTÍVEL. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"10"
"47"	"WF8522"	"FILTRO DO COMBUSTÍVEL"	\N	\N	"23,00"	"23,00"	"1"	"0"	\N	\N	\N	"1"	"FILTRO DO COMBUSTÍVEL. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"10"
"48"	"FT6036"	"FILTRO DO COMBUSTÍVEL"	\N	\N	"12,00"	"12,00"	"1"	"0"	\N	\N	\N	"1"	"FILTRO DO COMBUSTÍVEL. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"10"
"49"	"ADBP230010"	"FILTRO DO COMBUSTÍVEL"	\N	\N	"13,00"	"13,00"	"3"	"0"	\N	\N	\N	"1"	"FILTRO DO COMBUSTÍVEL. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"10"
"50"	"ADR162309"	"FILTRO DO COMBUSTÍVEL"	\N	\N	"18,00"	"18,00"	"1"	"0"	\N	\N	\N	"1"	"FILTRO DO COMBUSTÍVEL. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"10"
"51"	"FC-ECO097"	"FILTRO DO COMBUSTÍVEL"	\N	\N	"10,00"	"10,00"	"3"	"0"	\N	\N	\N	"1"	"FILTRO DO COMBUSTÍVEL. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"10"
"44"	"FK206"	"FILTRO DO HABITÁCULO"	\N	\N	"14,20"	"14,20"	"1"	"0"	\N	\N	\N	"1"	"FILTRO DO HABITÁCULO. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"10"
"45"	"PC8418"	"FILTRO DO HABITÁCULO"	\N	\N	"12,95"	"12,95"	"1"	"0"	\N	\N	\N	"1"	"FILTRO DO HABITÁCULO. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"10"
"59"	"64193"	"LÂMPADA H4"	\N	\N	"6,46"	"6,46"	"11"	"0"	\N	\N	\N	"1"	"LÂMPADA H4. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"6"
"58"	"2557100000"	"LÂMPADA H7"	\N	\N	"6,46"	"6,46"	"9"	"0"	\N	\N	\N	"1"	"LÂMPADA H7. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"6"
"55"	"7528"	"LÂMPADA PISCA"	\N	\N	"2,00"	"2,00"	"9"	"0"	\N	\N	\N	"1"	"LÂMPADA PISCA. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"6"
"56"	"368.299"	"LÂMPADA PISCA"	\N	\N	"0,80"	"0,80"	"12"	"0"	\N	\N	\N	"1"	"LÂMPADA PISCA. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"6"
"57"	"7506"	"LÂMPADA PISCA"	\N	\N	"0,80"	"0,80"	"10"	"0"	\N	\N	\N	"1"	"LÂMPADA PISCA. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"6"
"54"	"64136"	"LÂMPADA PISCA"	\N	\N	"6,00"	"6,00"	"6"	"0"	\N	\N	\N	"1"	"LÂMPADA PISCA. Principais aplicações: Marcas e modelos diversos."	"0,00"	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"6"
"7"	"FMK425"	"MAXILAS"	\N	\N	"46,00"	"46,00"	"2"	"0"	\N	\N	\N	"1"	"MAXILAS. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"5"
"24"	"75W80"	"ÓLEO 5L"	\N	\N	"12,00"	"12,00"	"1"	"0"	\N	\N	\N	"1"	"ÓLEO 5L. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
"23"	"5W30 ELF"	"ÓLEO 5L"	\N	\N	"36,80"	"36,80"	"10"	"0"	\N	\N	\N	"1"	"ÓLEO 5L. Principais aplicações: Marcas e modelos diversos."	\N	"2026-03-14 17:33:36"	"2026-03-14 17:33:36"	\N	"15"
