ESTOQUE;;;;
PEÇA;QUANTID; VALOR ;REFERÊNCIA;
MAXILAS ;2; � 46,00 ;FMK425;
PASTILHAS F;3; � 19,50 ;DBP1217;
PASTILHAS F;4; � 13,10 ;PA-013AF;
PASTILHAS F;2; � 20,70 ;P14603;
PASTILHAS F;1; � 18,00 ;2570201;
PASTILHAS F;1; � 15,00 ;P14403.00;
PASTILHAS F;3; � 15,00 ;PA-0722AF;
PASTILHAS T;1; � 20,00 ;2355406;
PASTILHAS T;1; � 25,00 ;CBP06092;
ROLAMENTO RODA;2; � 16,00 ;RE-WB-11476;
RETENTOR RODA;1; � 13,00 ;OS9341;
RETENTOR RODA;1; � 5,70 ;OS5310;
BOMBITOS;2; � 40,00 ;ATE020536;
RETENTOR CAMBOTA;1; � 9,70 ;20036702B;
BOMBA D'ÁGUA;1; € 48,00 ;PA1487;
ÓLEO 5L;4; € 34,00 ;5W30 PETRONAS;
ÓLEO 5L;10; € 36,80 ;5W30 ELF;
ÓLEO 5L;1; € 12,00 ;75W80;
FILTRO DE ÓLEO;3; € 6,65 ;WL7506;
FILTRO DE ÓLEO;3; € 6,65 ;WL7555;
FILTRO DE ÓLEO;2; € 6,65 ;OX1237D;
FILTRO DE ÓLEO;3; € 6,65 ;ADM52119;
FILTRO DE ÓLEO;2; € 6,65 ;FO-ECO130;
FILTRO DE ÓLEO;4; € 6,65 ;ADV182125;
FILTRO DE ÓLEO;1; € 6,65 ;ADB112107;
FILTRO DE ÓLEO;1; € 5,00 ;FT5266;
FILTRO DE ÓLEO;1; € 6,65 ;FA5919ECO;
FILTRO DE ÓLEO;1; € 6,65 ;FA6813ECO;
FILTRO DE ÓLEO;1; € 5,00 ;FT6088;
FILTRO DE ÓLEO;5; € 6,65 ;DP1110.11.0373;
FILTRO DE ÓLEO;5; € 6,65 ;DP1110.11.0147;
FILTRO DE ÓLEO;1; € 6,65 ;WL7283;
FILTRO DE AR;3; � 6,65 ;FA-0600S;
FILTRO DE AR;1; � 12,95 ;WA9770;
FILTRO DE AR;3; � 10,00 ;DP1110.10.0548;
FILTRO DE AR;2; � 12,00 ;ADBP220129;
FILTRO DE AR;3; � 12,00 ;WA9993;
FILTRO DO HABITÁCULO;1; € 14,20 ;FK206;
FILTRO DO HABITÁCULO;1; € 12,95 ;PC8418;
FILTRO DO COMBUSTÍVEL;1; € 19,00 ;WF8520;
FILTRO DO COMBUSTÍVEL;1; € 23,00 ;WF8522;
FILTRO DO COMBUSTÍVEL;1; € 12,00 ;FT6036;
FILTRO DO COMBUSTÍVEL;3; € 13,00 ;ADBP230010;
FILTRO DO COMBUSTÍVEL;1; € 18,00 ;ADR162309;
FILTRO DO COMBUSTÍVEL;3; € 10,00 ;FC-ECO097;
VELA DE IGNIÇÃO;2; € 12,00 ;91121;
VELA DE IGNIÇÃO;4; € 9,00 ;ZKR7A-0;
LÂMPADA PISCA;6; € 6,00 ;64136;
LÂMPADA PISCA;9; € 2,00 ;7528;
LÂMPADA PISCA;12; € 0,80 ;368.299;
LÂMPADA PISCA;10; € 0,80 ;7506;
LÂMPADA H7;9; € 6,46 ;2557100000;
LÂMPADA H4;11; € 6,46 ;64193;
BOTÕES JANELA;1; € 15,00 ;702103001;
FORNE POSITIVO;3; € 2,00 ;750298;
FORNE NEGATIVO;1; € 2,00 ;750296;
CORREIA DE ACESSÓRIOS;3; € 9,00 ;7PK1035;
CORREIA DE ACESSÓRIOS;1; € 9,00 ;6PK1153;
CORREIA DE ACESSÓRIOS;1; € 10,00 ;6PK2155;
CORREIA DE ACESSÓRIOS;1; € 10,00 ;6PK1165;
CORREIA DE ACESSÓRIOS;1; € 10,00 ;6PK1200;
FOLES;5; � 11,00 ;UNIVERSAL;
ANTIC. VERDE 5L;5; � 6,50 ;UNIVERSAL;
ANTIC. ROSA 5L;3; � 6,50 ;UNIVERSAL;
ANTIC. AZUL 5L;2; � 6,50 ;UNIVERSAL;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
